,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_hour,Arrival_minutes,Dept_hour,Dept_minutes,Duration_minutes
665,Air India,Kolkata,Banglore,2,No info,11642,18,5,2019,5,35,16,50,765
4067,GoAir,Banglore,Delhi,0,No info,3898,15,6,2019,14,30,11,40,170
5982,IndiGo,Delhi,Cochin,1,No info,6316,9,6,2019,1,30,15,0,630
8022,IndiGo,Chennai,Kolkata,0,No info,3858,3,5,2019,17,5,14,45,140
642,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9899,12,6,2019,23,35,14,5,570
9674,Multiple carriers,Delhi,Cochin,1,No info,7618,27,5,2019,21,0,9,0,720
3767,Vistara,Kolkata,Banglore,1,No info,8505,1,4,2019,10,45,7,10,1655
176,IndiGo,Delhi,Cochin,1,No info,5073,3,4,2019,1,30,20,25,305
10018,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1,5,2019,9,45,17,0,1005
10368,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,20,45,14,5,400
4726,SpiceJet,Kolkata,Banglore,0,No info,3873,9,4,2019,9,30,6,55,155
786,Multiple carriers,Delhi,Cochin,1,No info,15353,6,3,2019,19,15,11,40,455
7053,Air Asia,Kolkata,Banglore,0,No info,4107,24,4,2019,22,25,19,55,150
7020,Multiple carriers,Delhi,Cochin,1,No info,13727,15,5,2019,21,0,10,0,660
8365,Air India,Banglore,Delhi,0,No info,6961,18,6,2019,8,45,5,45,180
3202,Air Asia,Kolkata,Banglore,1,No info,5192,12,6,2019,10,40,22,40,720
5696,Jet Airways,Delhi,Cochin,0,No info,9564,9,3,2019,14,15,11,0,195
7672,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,12,5,2019,9,20,20,0,800
8886,Jet Airways,Kolkata,Banglore,1,No info,13731,24,5,2019,8,15,18,55,800
6961,Jet Airways,Delhi,Cochin,2,No info,11360,21,3,2019,18,50,10,45,485
91,Multiple carriers,Delhi,Cochin,1,No info,17057,6,3,2019,13,20,2,15,665
5508,Multiple carriers,Delhi,Cochin,2,No info,6653,21,3,2019,21,20,7,5,855
8721,Jet Airways,Kolkata,Banglore,1,No info,14388,6,5,2019,4,40,20,0,520
9411,Jet Airways,Delhi,Cochin,2,In-flight meal not included,16389,6,3,2019,4,25,5,25,1380
9945,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,18,15,18,55,1400
2585,Multiple carriers,Delhi,Cochin,1,No info,13727,15,5,2019,1,30,14,0,690
1971,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,18,6,2019,8,30,7,5,85
2905,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,3210,24,5,2019,21,5,19,35,90
530,Air India,Kolkata,Banglore,2,No info,13873,6,5,2019,1,20,10,0,920
4253,Jet Airways,Kolkata,Banglore,1,No info,13067,15,5,2019,18,0,9,35,505
996,Multiple carriers,Delhi,Cochin,1,No info,10407,27,5,2019,19,0,9,0,600
3035,Jet Airways,Kolkata,Banglore,1,No info,12996,1,4,2019,16,20,8,25,475
4598,Multiple carriers,Delhi,Cochin,1,No info,7198,12,6,2019,1,30,18,0,450
6388,Jet Airways,Kolkata,Banglore,1,No info,12692,12,6,2019,23,35,9,35,840
8591,SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,18,5,2019,20,5,17,45,140
6901,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3257,18,6,2019,12,20,9,30,170
2312,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,9,5,2019,8,15,21,10,665
7624,Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,9,4,2019,22,50,19,50,180
2154,Jet Airways,Mumbai,Hyderabad,0,No info,8040,21,5,2019,8,30,7,5,85
7621,IndiGo,Delhi,Cochin,1,No info,7191,9,5,2019,21,0,7,30,810
7795,Jet Airways,Banglore,New Delhi,1,No info,26890,1,3,2019,0,45,16,55,470
1427,IndiGo,Delhi,Cochin,1,No info,5458,6,6,2019,12,10,7,35,275
5231,Multiple carriers,Delhi,Cochin,1,No info,9856,9,3,2019,22,20,13,15,545
8328,IndiGo,Delhi,Cochin,1,No info,5241,24,4,2019,7,45,2,0,345
7363,Vistara,Banglore,New Delhi,1,No info,12371,1,3,2019,10,25,6,40,1665
7532,GoAir,Banglore,New Delhi,0,No info,8722,15,3,2019,23,50,20,55,175
156,Jet Airways,Delhi,Cochin,2,No info,14300,27,6,2019,12,35,20,0,995
5802,IndiGo,Banglore,Delhi,0,No info,4423,18,5,2019,15,50,13,0,170
3085,Jet Airways,Banglore,New Delhi,1,No info,13817,12,3,2019,13,15,18,55,1100
6847,Vistara,Banglore,Delhi,0,No info,5613,9,4,2019,22,15,19,30,165
9082,Air Asia,Kolkata,Banglore,0,No info,4107,21,5,2019,1,20,22,50,150
5204,Air India,Delhi,Cochin,2,No info,9706,21,3,2019,7,40,12,0,1180
9958,Jet Airways,Banglore,New Delhi,1,No info,13555,18,3,2019,8,15,16,55,920
9950,Air India,Delhi,Cochin,1,No info,6674,9,4,2019,19,15,7,0,735
3795,Jet Airways,Delhi,Cochin,2,No info,16274,21,5,2019,12,35,5,30,425
495,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,6,5,2019,9,20,14,5,1155
6349,Jet Airways,Delhi,Cochin,1,In-flight meal not included,11848,9,3,2019,4,25,0,20,1685
2321,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7280,21,3,2019,14,25,9,45,280
9080,Air India,Delhi,Cochin,2,No info,12409,18,5,2019,19,15,17,15,1560
5216,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,2175,9,5,2019,14,45,13,15,90
151,Jet Airways,Delhi,Cochin,2,In-flight meal not included,9270,21,3,2019,18,50,18,25,1465
4597,Air India,Mumbai,Hyderabad,0,No info,3100,24,6,2019,7,40,6,20,80
694,IndiGo,Delhi,Cochin,1,No info,7514,27,5,2019,16,10,7,35,515
4868,Jet Airways,Banglore,Delhi,0,No info,7229,6,5,2019,8,45,6,0,165
9583,SpiceJet,Chennai,Kolkata,0,No info,3597,9,6,2019,20,5,17,45,140
1738,IndiGo,Banglore,New Delhi,0,No info,6860,21,3,2019,19,45,16,55,170
3001,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,21,5,2019,8,15,21,10,665
167,SpiceJet,Banglore,Delhi,0,No info,3311,21,5,2019,8,35,5,55,160
9931,IndiGo,Banglore,Delhi,0,No info,3419,9,4,2019,4,15,1,30,165
6866,Air India,Delhi,Cochin,1,No info,6902,21,3,2019,7,40,21,0,640
2865,Air Asia,Delhi,Cochin,1,No info,6752,15,5,2019,7,10,16,45,865
8939,Multiple carriers,Delhi,Cochin,1,No info,7154,27,3,2019,19,15,10,45,510
4313,GoAir,Banglore,Delhi,0,No info,3898,1,5,2019,10,40,7,45,175
6496,Multiple carriers,Delhi,Cochin,1,No info,9103,15,5,2019,19,0,10,35,505
2883,Air India,Delhi,Cochin,2,No info,11753,24,6,2019,19,15,10,55,500
3720,IndiGo,Banglore,Delhi,0,No info,3943,3,5,2019,4,15,1,30,165
3031,Multiple carriers,Delhi,Cochin,1,No info,10276,6,3,2019,22,20,9,45,755
6373,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539,6,6,2019,9,45,20,25,800
8926,Jet Airways,Delhi,Cochin,2,No info,13292,3,6,2019,19,0,5,30,810
6713,Air India,Kolkata,Banglore,2,No info,6117,24,5,2019,11,5,9,10,1555
10066,Air India,Delhi,Cochin,2,No info,11447,6,6,2019,9,25,7,5,1580
7545,Jet Airways,Banglore,Delhi,0,In-flight meal not included,5198,18,5,2019,14,5,11,10,175
6606,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965,3,4,2019,14,45,13,15,90
2276,GoAir,Delhi,Cochin,1,No info,4201,6,4,2019,13,35,7,25,370
7744,Air India,Delhi,Cochin,2,No info,13381,12,6,2019,19,15,16,55,1580
6291,Jet Airways,Banglore,Delhi,0,No info,7229,6,4,2019,14,5,11,10,175
608,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,1,5,2019,12,0,14,5,1315
5850,GoAir,Kolkata,Banglore,1,No info,6095,9,5,2019,7,45,23,30,495
4742,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,9,5,2019,4,25,15,0,805
3495,Jet Airways,Banglore,Delhi,0,No info,7229,9,4,2019,18,45,15,50,175
8113,Air India,Mumbai,Hyderabad,2,No info,11972,6,3,2019,14,50,17,20,150
428,SpiceJet,Banglore,Delhi,0,No info,3971,9,4,2019,0,5,21,10,175
7785,IndiGo,Banglore,Delhi,0,No info,4823,18,6,2019,19,55,16,55,180
7025,Jet Airways,Kolkata,Banglore,1,No info,13941,1,5,2019,4,40,8,25,1215
4640,Jet Airways,Delhi,Cochin,2,No info,9483,27,3,2019,19,45,19,10,1475
426,Vistara Premium economy,Banglore,New Delhi,0,No info,11793,3,3,2019,18,35,16,0,155
2223,Multiple carriers,Delhi,Cochin,1,No info,7155,24,6,2019,19,15,11,25,470
100,Jet Airways,Kolkata,Banglore,1,No info,14781,15,5,2019,20,45,8,25,740
5792,Air India,Delhi,Cochin,1,No info,8372,3,6,2019,7,40,19,0,760
4012,IndiGo,Delhi,Cochin,1,No info,4862,21,3,2019,7,25,2,5,320
2762,Jet Airways,Kolkata,Banglore,1,No info,12692,12,6,2019,21,5,9,35,690
6462,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,23,35,14,5,570
5228,SpiceJet,Mumbai,Hyderabad,0,No info,3173,21,3,2019,7,5,5,45,80
5405,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,15342,6,3,2019,19,15,9,55,560
8060,Air India,Delhi,Cochin,2,No info,10441,27,5,2019,19,15,19,45,1410
5316,Jet Airways,Kolkata,Banglore,1,No info,8781,24,5,2019,17,35,10,20,435
10082,Jet Airways,Mumbai,Hyderabad,0,No info,8040,27,6,2019,8,30,7,5,85
3286,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,3210,6,5,2019,4,20,2,55,85
7464,Air Asia,Kolkata,Banglore,0,No info,4409,9,6,2019,22,25,19,55,150
6280,IndiGo,Delhi,Cochin,1,No info,9257,3,3,2019,7,45,2,0,345
9568,Air India,Kolkata,Banglore,1,No info,6612,9,5,2019,13,15,12,0,1515
6878,Multiple carriers,Delhi,Cochin,1,No info,12192,27,6,2019,19,0,8,0,660
6691,Jet Airways,Banglore,New Delhi,1,No info,16736,6,3,2019,23,0,8,0,900
7231,Air India,Delhi,Cochin,1,No info,7174,9,5,2019,23,0,6,10,1010
9667,Multiple carriers,Delhi,Cochin,2,No info,11966,3,3,2019,21,20,13,5,495
8281,Multiple carriers,Delhi,Cochin,1,No info,7933,1,6,2019,21,0,9,0,720
1465,Jet Airways,Kolkata,Banglore,1,No info,14151,24,5,2019,18,0,9,35,505
8444,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,12,35,13,0,1415
2234,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,21,5,2019,4,40,21,10,450
5095,Jet Airways,Banglore,New Delhi,1,No info,16736,6,3,2019,23,0,11,40,680
3903,Air India,Banglore,New Delhi,1,No info,11707,12,3,2019,8,55,11,50,1265
1744,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,19,0,16,0,1620
6306,Air India,Delhi,Cochin,1,No info,6377,27,3,2019,19,15,7,0,735
6720,Jet Airways,Kolkata,Banglore,1,No info,13067,12,5,2019,22,5,17,0,1745
573,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,24,3,2019,22,35,13,55,520
8975,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,9,5,2019,4,25,20,55,450
9071,Air Asia,Banglore,Delhi,0,No info,4483,3,6,2019,13,55,11,10,165
6345,IndiGo,Banglore,Delhi,0,No info,4823,3,4,2019,10,5,7,10,175
5550,IndiGo,Delhi,Cochin,1,No info,5636,15,5,2019,12,30,7,15,315
9666,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,12,35,11,30,1505
3787,IndiGo,Banglore,Delhi,0,No info,4591,18,4,2019,4,15,1,30,165
1983,IndiGo,Mumbai,Hyderabad,0,No info,4049,18,6,2019,7,55,6,25,90
7871,IndiGo,Delhi,Cochin,1,No info,7255,21,5,2019,21,0,16,0,300
5912,Air India,Delhi,Cochin,2,No info,13591,9,5,2019,19,15,16,55,1580
9859,IndiGo,Chennai,Kolkata,0,No info,5277,24,3,2019,0,25,22,5,140
3698,SpiceJet,Kolkata,Banglore,0,No info,3847,27,3,2019,9,35,6,55,160
2121,Jet Airways,Banglore,Delhi,0,No info,7229,1,4,2019,22,50,19,50,180
4071,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13344,3,6,2019,12,35,5,30,425
6341,Jet Airways,Banglore,New Delhi,1,No info,13817,12,3,2019,7,40,16,55,885
3003,Jet Airways,Delhi,Cochin,2,In-flight meal not included,11150,27,6,2019,12,35,23,5,810
8221,IndiGo,Delhi,Cochin,1,No info,6171,24,4,2019,16,10,5,5,665
916,Multiple carriers,Delhi,Cochin,1,No info,7198,12,6,2019,1,30,17,0,510
9985,Multiple carriers,Delhi,Cochin,1,No info,7408,6,6,2019,21,0,13,0,480
7988,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,6,6,2019,4,25,9,40,1125
7707,Jet Airways,Banglore,Delhi,0,In-flight meal not included,5769,24,6,2019,11,20,8,20,180
3161,Air India,Kolkata,Banglore,2,No info,7893,1,4,2019,18,20,16,50,1530
4793,IndiGo,Kolkata,Banglore,0,No info,4462,15,3,2019,23,5,20,25,160
5368,Air India,Delhi,Cochin,0,No info,6094,15,5,2019,8,0,5,10,170
8906,Jet Airways,Delhi,Cochin,2,No info,18909,9,3,2019,4,25,8,20,1205
9777,Air India,Delhi,Cochin,2,No info,11543,21,5,2019,7,40,5,55,1545
9396,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,19,0,11,30,450
1203,Jet Airways,Banglore,Delhi,0,No info,7229,27,4,2019,14,5,11,10,175
2317,Jet Airways,Delhi,Cochin,2,No info,14300,15,6,2019,12,35,12,15,1460
6181,Jet Airways,Banglore,New Delhi,0,No info,8016,24,3,2019,22,35,19,55,160
5470,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,18,5,2019,4,25,9,40,1125
616,IndiGo,Kolkata,Banglore,0,No info,4804,27,5,2019,22,55,20,20,155
1926,Jet Airways,Banglore,New Delhi,1,No info,17471,6,3,2019,21,20,22,50,1350
3114,IndiGo,Banglore,Delhi,0,No info,4823,1,4,2019,22,50,20,0,170
2641,GoAir,Banglore,Delhi,0,No info,3398,27,5,2019,14,30,11,40,170
10323,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,18,4,2019,11,25,9,0,145
8101,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,4,25,21,50,395
5942,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,12,5,2019,10,5,21,10,775
2562,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,9,5,2019,4,25,11,30,1015
2630,Air India,Kolkata,Banglore,2,No info,12219,1,4,2019,5,25,9,25,1200
7661,Jet Airways,Delhi,Cochin,2,No info,13014,27,6,2019,19,0,5,30,810
2728,IndiGo,Kolkata,Banglore,0,No info,4148,12,3,2019,8,20,5,30,170
2216,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,12384,6,5,2019,18,0,9,35,505
4879,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,6,6,2019,16,20,18,55,1285
5344,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,24,5,2019,18,15,8,25,590
8330,IndiGo,Delhi,Cochin,1,No info,5883,12,6,2019,1,30,10,35,895
6523,Jet Airways,Delhi,Cochin,2,No info,18804,27,6,2019,19,0,11,40,440
2626,Jet Airways,Delhi,Cochin,2,No info,16704,27,5,2019,4,25,23,5,1760
2126,Air India,Delhi,Cochin,2,No info,16163,27,5,2019,7,40,6,50,1490
8898,IndiGo,Delhi,Cochin,1,No info,6769,27,5,2019,3,35,21,50,345
8638,SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965,24,6,2019,14,45,13,15,90
8027,Air India,Delhi,Cochin,1,No info,13832,6,3,2019,9,25,12,30,1255
5090,Multiple carriers,Delhi,Cochin,1,No info,7005,27,6,2019,21,0,8,45,735
5466,IndiGo,Kolkata,Banglore,0,No info,4804,21,6,2019,17,45,15,15,150
7130,Jet Airways,Kolkata,Banglore,1,No info,14151,6,6,2019,22,5,9,35,750
805,Multiple carriers,Delhi,Cochin,1,No info,10197,21,5,2019,19,0,7,0,720
9729,IndiGo,Kolkata,Banglore,1,No info,5930,12,6,2019,2,15,21,0,315
847,Air India,Kolkata,Banglore,2,No info,14687,15,5,2019,5,25,9,25,1200
3680,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3919,15,6,2019,0,5,21,10,175
7228,Jet Airways,Banglore,Delhi,0,No info,7229,27,4,2019,10,10,7,10,180
4619,IndiGo,Banglore,New Delhi,0,No info,11934,1,3,2019,10,5,7,10,175
7541,IndiGo,Delhi,Cochin,2,No info,6223,27,3,2019,21,20,4,55,985
9686,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,24,5,2019,12,0,21,10,890
9939,IndiGo,Delhi,Cochin,1,No info,7189,15,5,2019,3,35,21,50,345
8180,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,12384,21,5,2019,9,45,20,25,800
1242,Vistara,Kolkata,Banglore,1,No info,8452,6,5,2019,22,40,7,10,930
7653,Air India,Mumbai,Hyderabad,0,No info,11185,3,3,2019,20,45,19,30,75
6138,Multiple carriers,Delhi,Cochin,1,No info,9627,21,5,2019,19,0,8,30,630
7676,Jet Airways,Banglore,Delhi,0,No info,7229,3,5,2019,8,45,6,0,165
547,SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,12,6,2019,9,30,6,55,155
3022,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,15,5,2019,23,35,6,30,1025
4081,Air Asia,Banglore,Delhi,0,No info,3383,27,4,2019,2,45,23,55,170
8951,IndiGo,Delhi,Cochin,1,No info,5883,15,6,2019,1,30,18,35,415
26,IndiGo,Delhi,Cochin,1,No info,8238,1,6,2019,3,35,21,50,345
8260,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,3210,21,5,2019,21,5,19,35,90
3918,Jet Airways,Kolkata,Banglore,1,No info,13759,24,3,2019,22,35,8,25,850
4707,Jet Airways,Delhi,Cochin,1,No info,14714,1,6,2019,4,25,17,30,655
2508,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,24,3,2019,8,10,18,55,795
1433,Jet Airways,Banglore,New Delhi,1,No info,16757,6,3,2019,14,25,9,45,280
2582,Jet Airways,Kolkata,Banglore,1,No info,14571,24,5,2019,12,0,20,0,960
1302,IndiGo,Kolkata,Banglore,0,No info,4804,18,6,2019,16,55,14,25,150
7362,IndiGo,Banglore,New Delhi,0,No info,5694,24,3,2019,15,50,13,0,170
7197,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,9134,15,3,2019,18,25,8,0,625
4429,IndiGo,Delhi,Cochin,1,No info,9581,3,3,2019,10,5,5,5,300
4656,Jet Airways,Delhi,Cochin,2,In-flight meal not included,8728,27,3,2019,18,50,5,10,820
4794,SpiceJet,Chennai,Kolkata,0,No info,6300,12,3,2019,10,35,8,20,135
1221,IndiGo,Kolkata,Banglore,0,No info,4804,15,5,2019,12,20,9,35,165
7459,Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,2228,24,3,2019,17,20,15,50,90
2548,Jet Airways,Delhi,Cochin,0,No info,9564,9,5,2019,14,15,11,0,195
750,SpiceJet,Banglore,Delhi,0,No check-in baggage included,3573,27,6,2019,12,20,9,30,170
437,Vistara,Delhi,Cochin,0,No info,6741,21,4,2019,17,50,14,40,190
4816,Multiple carriers,Delhi,Cochin,1,No info,14486,21,3,2019,13,20,7,5,375
3411,Jet Airways,Delhi,Cochin,1,No info,17024,6,3,2019,18,50,2,15,995
8857,SpiceJet,Banglore,New Delhi,0,No check-in baggage included,4273,18,3,2019,8,35,5,45,170
2847,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1,4,2019,18,0,9,35,505
1173,Jet Airways,Kolkata,Banglore,1,No info,14151,24,5,2019,22,5,9,35,750
1861,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,9,5,2019,10,5,14,5,1200
2699,Jet Airways,Delhi,Cochin,1,In-flight meal not included,6017,27,3,2019,18,50,2,15,995
8482,Jet Airways,Kolkata,Banglore,1,No info,14781,1,5,2019,18,15,8,25,590
7990,SpiceJet,Chennai,Kolkata,0,No info,3597,9,5,2019,12,0,9,45,135
2481,Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,9,5,2019,4,25,5,30,1375
4397,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10546,9,5,2019,21,0,7,5,835
8830,Jet Airways,Delhi,Cochin,1,No info,15764,9,3,2019,18,50,21,50,1260
2706,Air India,Delhi,Cochin,2,No info,11753,24,6,2019,7,40,10,55,1245
326,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,4,25,22,50,335
2499,Vistara,Kolkata,Banglore,1,No info,9555,9,5,2019,20,20,17,0,1640
1004,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,12,6,2019,12,35,13,0,1415
4671,Jet Airways,Kolkata,Banglore,1,No info,12692,12,6,2019,10,55,9,35,1520
4955,IndiGo,Banglore,Delhi,0,No info,4823,12,4,2019,10,5,7,10,175
4011,SpiceJet,Kolkata,Banglore,0,No info,3873,15,4,2019,0,40,22,20,140
9528,Multiple carriers,Delhi,Cochin,1,No info,9856,27,5,2019,22,30,7,5,925
534,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,12384,6,5,2019,19,10,9,35,575
5814,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,15,6,2019,19,0,9,0,600
3960,Jet Airways,Mumbai,Hyderabad,0,No info,5678,18,3,2019,21,5,19,35,90
585,IndiGo,Delhi,Cochin,1,No info,6442,15,6,2019,16,10,8,35,455
9300,IndiGo,Delhi,Cochin,0,No info,5000,24,6,2019,17,35,14,20,195
4880,Jet Airways,Mumbai,Hyderabad,0,No info,8040,1,4,2019,8,30,7,5,85
8117,Air India,Kolkata,Banglore,1,No info,8366,18,5,2019,7,55,9,25,1350
8405,Jet Airways,Delhi,Cochin,2,In-flight meal not included,15544,27,5,2019,12,35,5,30,425
491,Jet Airways,Delhi,Cochin,1,In-flight meal not included,5177,1,4,2019,12,35,22,50,825
4217,Jet Airways,Banglore,New Delhi,1,No info,19225,6,3,2019,5,5,22,50,375
5272,Jet Airways,Delhi,Cochin,1,No info,16289,9,3,2019,18,50,16,0,1610
4353,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,18,5,2019,8,15,5,45,1590
10420,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,7832,21,3,2019,11,25,21,25,840
8240,IndiGo,Delhi,Cochin,1,No info,6979,15,5,2019,1,30,17,30,480
3548,Air India,Kolkata,Banglore,0,No info,4145,24,4,2019,23,20,20,45,155
1916,Jet Airways,Kolkata,Banglore,1,No info,14571,9,6,2019,23,35,14,5,570
3185,SpiceJet,Mumbai,Hyderabad,0,No info,2227,24,3,2019,0,10,22,45,85
7252,Air India,Delhi,Cochin,2,No info,13547,27,6,2019,7,40,13,15,1105
7991,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,6733,27,5,2019,1,30,11,30,840
9953,Air India,Delhi,Cochin,2,No info,13381,3,6,2019,19,15,20,15,1380
4672,Jet Airways,Delhi,Cochin,1,In-flight meal not included,13843,9,3,2019,18,50,21,50,1260
1133,Air India,Delhi,Cochin,2,No info,13643,27,5,2019,7,40,10,55,1245
5762,Air India,Mumbai,Hyderabad,0,No info,3100,24,5,2019,15,25,13,55,90
2518,Air Asia,Kolkata,Banglore,0,No info,4409,27,4,2019,22,25,19,55,150
1317,Jet Airways,Kolkata,Banglore,1,No info,14151,24,5,2019,18,0,20,25,1295
121,Air India,Mumbai,Hyderabad,0,No info,3100,3,5,2019,16,25,15,0,85
10386,Air India,Delhi,Cochin,2,No info,11228,18,5,2019,7,40,5,0,1600
2449,IndiGo,Kolkata,Banglore,0,No info,5198,21,3,2019,16,55,14,20,155
6728,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,1,4,2019,22,35,18,55,1660
4775,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,10196,15,6,2019,1,30,16,0,570
2601,IndiGo,Kolkata,Banglore,0,No info,4804,24,6,2019,22,55,20,20,155
7375,Jet Airways,Kolkata,Banglore,1,No info,14781,21,5,2019,22,35,14,5,510
6634,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,18,5,2019,16,20,5,45,635
2173,IndiGo,Delhi,Cochin,1,No info,8177,9,5,2019,4,35,23,30,305
3283,Multiple carriers,Delhi,Cochin,1,In-flight meal not included,12616,9,3,2019,1,35,17,25,490
3605,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,12,5,2019,9,20,18,55,865
4265,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10539,6,6,2019,14,25,17,0,1285
9497,Air India,Delhi,Cochin,2,No info,9968,21,5,2019,19,15,5,0,2295
3768,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,9,5,2019,9,20,14,5,1155
7936,Jet Airways,Kolkata,Banglore,1,No info,14388,21,5,2019,12,0,6,30,330
4038,Jet Airways,Kolkata,Banglore,1,No info,14388,12,5,2019,8,15,18,55,800
3502,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,27,6,2019,12,35,19,15,1040
1407,IndiGo,Kolkata,Banglore,0,No info,5224,24,5,2019,16,55,14,25,150
5193,IndiGo,Kolkata,Banglore,0,No info,4804,24,6,2019,16,55,14,25,150
7874,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,3,6,2019,12,35,18,15,1100
6685,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,12,35,19,45,1010
2579,Vistara,Banglore,Delhi,0,No info,4878,9,6,2019,19,35,17,0,155
4226,IndiGo,Banglore,Delhi,0,No info,3419,15,6,2019,4,15,1,30,165
3269,IndiGo,Kolkata,Banglore,0,No info,4804,15,6,2019,19,50,17,15,155
9997,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,6,5,2019,16,20,18,55,1285
1867,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,12,35,10,0,1595
10370,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,24,6,2019,19,0,18,15,1485
5137,Multiple carriers,Delhi,Cochin,1,No info,15147,6,3,2019,1,35,15,15,620
2521,Air India,Delhi,Cochin,2,No info,13538,21,5,2019,7,40,13,20,1100
9723,IndiGo,Mumbai,Hyderabad,0,No info,2754,3,5,2019,21,40,20,5,95
1820,Jet Airways,Delhi,Cochin,2,No info,21954,6,3,2019,19,45,19,10,1475
7727,Air India,Mumbai,Hyderabad,0,No info,2050,15,3,2019,16,25,15,0,85
51,Jet Airways,Kolkata,Banglore,1,No info,12121,1,5,2019,10,55,9,35,1520
3888,Air India,Kolkata,Banglore,1,No info,7452,6,6,2019,21,5,9,50,675
6481,Jet Airways,Delhi,Cochin,1,No info,18581,24,6,2019,19,0,7,5,715
3577,IndiGo,Kolkata,Banglore,1,No info,5699,6,5,2019,22,15,17,35,280
